Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,Source
Tyler Lockett,SEA,WR,16,0,0,0,109.56,0,62.04,863.28,3.96,0,0,0,0,FantasyPros
Josh McCown,NYJ,QB,16,2214.96,10.56,9.24,81.84,0,0,0,0,0,0,0,0,FantasyPros
Tampa Bay Buccaneers,TB,DST,16,0,0,0,0,0,0,0,0,33,17.16,22.44,21.12,FantasyPros
Buffalo Bills,BUF,DST,16,0,0,0,0,0,0,0,0,42.24,19.8,18.48,13.2,FantasyPros
Paul Richardson,WAS,WR,16,0,0,0,0,0,67.32,960.96,3.96,0,0,0,0,FantasyPros
Kenneth Dixon,BAL,RB,16,0,0,0,657.36,3.96,39.6,221.76,1.32,0,0,0,0,FantasyPros
Jason Myers,SEA,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyPros
Aldrick Rosas,NYG,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyPros
Calvin Ridley,ATL,WR,16,0,0,0,36.96,0,67.32,905.52,3.96,0,0,0,0,FantasyPros
Cairo Santos,NYJ,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyPros
Zane Gonzalez,CLE,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyPros
Cameron Meredith,NO,WR,16,0,0,0,0,0,67.32,880.44,5.28,0,0,0,0,FantasyPros
Bilal Powell,NYJ,RB,16,0,0,0,681.12,3.96,39.6,275.88,0,0,0,0,0,FantasyPros
Terrance Williams,DAL,WR,16,0,0,0,17.16,0,63.36,873.84,3.96,0,0,0,0,FantasyPros
CJ Anderson,CAR,RB,16,0,0,0,718.08,3.96,13.2,114.84,1.32,0,0,0,0,FantasyPros
New York Jets,NYJ,DST,16,0,0,0,0,0,0,0,0,43.56,18.48,11.88,15.84,FantasyPros
Randy Bullock,CIN,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyPros
Nick Chubb,CLE,RB,16,0,0,0,646.8,3.96,26.4,201.96,1.32,0,0,0,0,FantasyPros
Carlos Hyde,CLE,RB,16,0,0,0,674.52,3.96,31.68,191.4,1.32,0,0,0,0,FantasyPros
Mike Wallace,PHI,WR,16,0,0,0,0,0,56.76,778.8,5.28,0,0,0,0,FantasyPros
