Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,Source
Cody Parkey,CHI,K,16,0,0,0,0,0,0,0,0,0,0,0,0,ESPN
Tyler Eifert,CIN,TE,16,0,0,0,0,0,55,634.7,4.4,0,0,0,0,ESPN
David Njoku,CLE,TE,16,0,0,0,0,0,48.4,566.5,5.5,0,0,0,0,ESPN
D.J. Moore,CAR,WR,16,0,0,0,39.6,0,45.1,614.9,4.4,0,0,0,0,ESPN
Charles Clay,BUF,TE,16,0,0,0,0,0,67.1,697.4,3.3,0,0,0,0,ESPN
Ryan Grant,IND,WR,16,0,0,0,0,0,50.6,628.1,4.4,0,0,0,0,ESPN
New York Giants,NYG,DST,16,0,0,0,0,0,0,0,0,31.9,15.4,13.2,13.2,ESPN
Albert Wilson,MIA,WR,16,0,0,0,12.1,0,57.2,679.8,3.3,0,0,0,0,ESPN
Hayden Hurst,BAL,TE,16,0,0,0,0,0,69.3,624.8,4.4,0,0,0,0,ESPN
Sam Bradford,ARI,QB,16,1615.9,7.7,4.4,20.9,0,0,0,0,0,0,0,0,ESPN
Austin Ekeler,LAC,RB,16,0,0,0,424.6,2.2,30.8,303.6,2.2,0,0,0,0,ESPN
Cleveland Browns,CLE,DST,16,0,0,0,0,0,0,0,0,36.3,14.3,12.1,9.9,ESPN
Jordan Matthews,NE,WR,16,0,0,0,0,0,56.1,657.8,4.4,0,0,0,0,ESPN
Trey Burton,CHI,TE,16,0,0,0,0,0,55,613.8,4.4,0,0,0,0,ESPN
Zay Jones,BUF,WR,16,0,0,0,0,0,52.8,677.6,3.3,0,0,0,0,ESPN
Tyrell Williams,LAC,WR,16,0,0,0,0,0,42.9,686.4,3.3,0,0,0,0,ESPN
Latavius Murray,MIN,RB,16,0,0,0,509.3,4.4,14.3,107.8,0,0,0,0,0,ESPN
Cameron Brate,TB,TE,16,0,0,0,0,0,49.5,595.1,4.4,0,0,0,0,ESPN
Corey Clement,PHI,RB,16,0,0,0,345.4,4.4,18.7,224.4,1.1,0,0,0,0,ESPN
George Kittle,SF,TE,16,0,0,0,0,0,50.6,589.6,4.4,0,0,0,0,ESPN
Nyheim Hines,IND,RB,16,0,0,0,331.1,3.3,34.1,271.7,1.1,0,0,0,0,ESPN
Brandon LaFell,CIN,WR,16,0,0,0,0,0,52.8,642.4,3.3,0,0,0,0,ESPN
Ty Montgomery,GB,RB,16,0,0,0,327.8,2.2,45.1,331.1,1.1,0,0,0,0,ESPN
Vance McDonald,PIT,TE,16,0,0,0,0,0,47.3,570.9,4.4,0,0,0,0,ESPN
Eric Ebron,IND,TE,16,0,0,0,0,0,50.6,567.6,4.4,0,0,0,0,ESPN
Jared Cook,OAK,TE,16,0,0,0,0,0,51.7,624.8,3.3,0,0,0,0,ESPN
Austin Seferian-Jenkins,JAX,TE,16,0,0,0,0,0,50.6,558.8,4.4,0,0,0,0,ESPN
Spencer Ware,KC,RB,16,0,0,0,432.3,3.3,13.2,160.6,1.1,0,0,0,0,ESPN
Austin Hooper,ATL,TE,16,0,0,0,0,0,49.5,546.7,4.4,0,0,0,0,ESPN
Giovani Bernard,CIN,RB,16,0,0,0,382.8,2.2,29.7,261.8,1.1,0,0,0,0,ESPN
Ricky Seals-Jones,ARI,TE,16,0,0,0,0,0,45.1,600.6,3.3,0,0,0,0,ESPN
Willie Snead,BAL,WR,16,0,0,0,0,0,56.1,673.2,2.2,0,0,0,0,ESPN
Chris Carson,SEA,RB,16,0,0,0,489.5,2.2,14.3,115.5,1.1,0,0,0,0,ESPN
Darren Sproles,PHI,RB,16,0,0,0,332.2,2.2,34.1,315.7,1.1,0,0,0,0,ESPN
